movie_display_name,movie_production_year,movie_odid,movie_financial_summary_production_budget,movie_financial_summary_domestic_box_office,movie_financial_summary_international_box_office,production_date_year,movie_creative_type_display_name,movie_source_display_name,movie_production_method_display_name,movie_genre_display_name,movie_sequel,movie_running_time
Twilight,2008,1040100,37000000,192769854,209510305,2008-01-01,Fantasy,Based on Fiction Book/Short Story,Live Action,Drama,0,121
The Master,2012,174670100,37500000,16247159,42544852,2012-01-01,Historical Fiction,Original Screenplay,Live Action,Drama,0,136
What to Expect When You're Expecting,2012,161730100,37500000,41152203,79773494,2012-01-01,Contemporary Fiction,Based on Factual Book/Article,Live Action,Romantic Comedy,0,109
The Express,2008,37800100,37500000,9643725,19903,2008-01-01,Dramatization,Based on Factual Book/Article,Live Action,Drama,0,
Push,2009,17870100,38000000,31811527,12600000,2009-01-01,Science Fiction,Original Screenplay,Live Action,Thriller/Suspense,0,
Angel Eyes,2001,22200100,38000000,24044532,5500000,2001-01-01,Contemporary Fiction,Original Screenplay,Live Action,Drama,0,
Sweet Home Alabama,2002,2690100,38000000,127214072,55151042,2002-01-01,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,109
Heartbreakers,2001,13850100,38000000,40334024,17419801,2001-01-01,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,123
The Thing,2011,139620100,38000000,16928670,10573144,2011-01-01,Fantasy,Remake,Live Action,Horror,1,102
The 5th Wave,2016,212090100,38000000,34800570,75225454,2016-01-01,Science Fiction,Based on Fiction Book/Short Story,Live Action,Action,0,112
Rush,2013,179610100,38000000,26947624,71283215,2013-01-01,Dramatization,Based on Real Life Events,Live Action,Drama,0,123
Water for Elephants,2010,143950100,38000000,58709717,58100000,2010-01-01,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0,120
The Ugly Truth,2009,5030100,38000000,88915214,116383693,2009-01-01,Contemporary Fiction,Original Screenplay,Live Action,Romantic Comedy,0,95
Joe Somebody,2001,23020100,38000000,22770864,1745126,2001-01-01,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,
Rock Star,2001,28160100,38000000,16991902,2325863,2001-01-01,Contemporary Fiction,Original Screenplay,Live Action,Drama,0,106
Riddick,2011,148410100,38000000,42025135,52738623,2011-01-01,Science Fiction,Original Screenplay,Live Action,Action,1,119
Spy Kids 2: The Island of Lost Dreams,2002,5200100,38000000,85846296,33875000,2002-01-01,Kids Fiction,Original Screenplay,Live Action,Adventure,1,
Enough,2002,14340100,38000000,39177215,11793445,2002-01-01,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,0,
The Fast and the Furious,2001,2000100,38000000,144512310,62000000,2001-01-01,Contemporary Fiction,Based on Factual Book/Article,Live Action,Action,0,107
City of Ember,2008,40790100,38000000,7871693,9958551,2008-01-01,Fantasy,Based on Fiction Book/Short Story,Live Action,Adventure,0,
Paul Blart: Mall Cop 2,2015,205750100,38000000,71038190,36559052,2015-01-01,Contemporary Fiction,Original Screenplay,Live Action,Comedy,1,94
Life as We Know It,2010,111080100,38000000,53374681,52513156,2010-01-01,Contemporary Fiction,Original Screenplay,Live Action,Romantic Comedy,0,113
Yi dai zong shi,2013,188220100,38600000,6594959,51392340,2013-01-01,Dramatization,Based on Real Life Events,Live Action,Action,0,130
Frankenweenie,2011,140090100,39000000,35287788,45863000,2011-01-01,Fantasy,Based on Short Film,Stop-Motion Animation,Comedy,0,87
Serenity,2005,21180100,39000000,25335935,14804923,2005-01-01,Science Fiction,Based on TV,Animation/Live Action,Action,0,
Against the Ropes,2004,131030100,39000000,5881504,548361,2004-01-01,Dramatization,Based on Real Life Events,Live Action,Drama,0,
Because I Said So,2007,13000100,39000000,42674040,26864793,2007-01-01,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,
The Time Traveler's Wife,2009,8460100,39000000,63414846,38917289,2009-01-01,Science Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0,107
Grudge Match,2013,186910100,40000000,29807260,40000000,2013-01-01,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,113
Sunshine,2007,50090100,40000000,3675072,28342050,2007-01-01,Science Fiction,Original Screenplay,Live Action,Thriller/Suspense,0,
Rent,2005,19200100,40000000,29077547,2593073,2005-01-01,Historical Fiction,Based on Musical or Opera,Live Action,Musical,0,
Aliens vs. Predator - Requiem,2007,13340100,40000000,41797066,87087428,2007-01-01,Science Fiction,Based on Movie,Live Action,Action,1,
American Hustle,2013,189030100,40000000,150117807,107760487,2013-01-01,Dramatization,Based on Real Life Events,Live Action,Black Comedy,0,138
The Lincoln Lawyer,2010,145300100,40000000,58009200,29135886,2010-01-01,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Thriller/Suspense,0,119
Ray,2004,6400100,40000000,75305995,49517099,2004-01-01,Dramatization,Based on Real Life Events,Live Action,Drama,0,152
Colombiana,2011,141870100,40000000,36665854,35629408,2011-01-01,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,0,107
Secret Window,2004,11530100,40000000,47958031,44153520,2004-01-01,Fantasy,Based on Fiction Book/Short Story,Live Action,Thriller/Suspense,0,95
The Wedding Crashers,2005,850100,40000000,209218368,74000000,2005-01-01,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,119
Impostor,2002,44050100,40000000,6114237,1860370,2002-01-01,Science Fiction,Based on Fiction Book/Short Story,Live Action,Thriller/Suspense,0,
Cheaper by the Dozen,2003,2230100,40000000,138614544,51100000,2003-01-01,Contemporary Fiction,Remake,Live Action,Comedy,0,98
Pandorum,2009,115070100,40000000,10330853,6702578,2009-01-01,Science Fiction,Original Screenplay,Live Action,Horror,0,
The Mexican,2001,7530100,40000000,66808615,78429635,2001-01-01,Contemporary Fiction,Original Screenplay,Live Action,Action,0,122
Arthur,2010,141310100,40000000,33035397,14752546,2010-01-01,Contemporary Fiction,Remake,Live Action,Comedy,0,110
"I Love You, Man",2009,6840100,40000000,71440011,20289492,2009-01-01,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,105
Torque,2004,24240100,40000000,21176322,25000000,2004-01-01,Contemporary Fiction,Original Screenplay,Live Action,Action,0,
Get Hard,2015,204300100,40000000,90411453,16100000,2015-01-01,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,99
Red Cliff,2008,122190100,40000000,627047,119000000,2008-01-01,Dramatization,Based on Real Life Events,Live Action,Action,0,
Invincible,2006,9100100,40000000,57806952,694175,2006-01-01,Dramatization,Based on Real Life Events,Live Action,Drama,0,104
Morning Glory,2010,111880100,40000000,31011732,28783338,2010-01-01,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,110
Get Him to the Greek,2010,111870100,40000000,60974475,30302349,2010-01-01,Contemporary Fiction,Spin-Off,Live Action,Comedy,0,108
Lucy,2014,201180100,40000000,126573960,330933816,2014-01-01,Science Fiction,Original Screenplay,Live Action,Action,0,88
A Million Ways to Die in The West,2014,191960100,40000000,42720965,44040030,2014-01-01,Historical Fiction,Original Screenplay,Live Action,Comedy,0,115
Paranoia,2012,176590100,40000000,7388654,8784939,2012-01-01,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,0,146
Spy Kids 3-D: Game Over,2003,3490100,40000000,111760631,56091364,2003-01-01,Kids Fiction,Original Screenplay,Live Action,Adventure,1,82
Big Miracle,2011,145310100,40000000,20157300,5536698,2011-01-01,Dramatization,Based on Real Life Events,Live Action,Drama,0,
Apocalypto,2006,130090100,40000000,50866635,70165637,2006-01-01,Historical Fiction,Original Screenplay,Live Action,Adventure,0,138
The Karate Kid,2009,111860100,40000000,176591618,175183320,2009-01-01,Contemporary Fiction,Remake,Live Action,Adventure,0,140
Ride Along 2,2016,204730100,40000000,90862685,31760780,2016-01-01,Contemporary Fiction,Original Screenplay,Live Action,Comedy,1,102
Music and Lyrics,2007,10900100,40000000,50572589,95727767,2007-01-01,Contemporary Fiction,Original Screenplay,Live Action,Romantic Comedy,0,104
Alex Rider: Operation Stormbreaker,2006,65100100,40000000,659210,20063240,2006-01-01,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Action,0,
Escape From Planet Earth,2012,172370100,40000000,57012977,17143633,2012-01-01,Kids Fiction,Original Screenplay,Digital Animation,Adventure,0,89
Extreme Ops,2002,46930100,40000000,4835968,7788503,2002-01-01,Contemporary Fiction,Original Screenplay,Live Action,Action,0,
Jersey Boys,2014,199800100,40000000,47047013,18235719,2014-01-01,Dramatization,Based on Real Life Events,Live Action,Drama,0,132
Fifty Shades of Grey,2013,194070100,40000000,166167230,404811240,2013-01-01,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0,125
The Impossible,2011,146740100,40000000,19019882,150570724,2011-01-01,Dramatization,Based on Real Life Events,Live Action,Drama,0,114
The Intern,2015,204330100,40000000,75764672,121468062,2015-01-01,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,121
The Fantastic Mr. Fox,2009,116510100,40000000,21002919,26082145,2009-01-01,Kids Fiction,Based on Fiction Book/Short Story,Stop-Motion Animation,Adventure,0,88
New York Minute,2004,31550100,40000000,14018364,7197518,2004-01-01,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,
Cirque du Freak: The Vampire's Assistant,2009,109380100,40000000,14046595,25707362,2009-01-01,Fantasy,Based on Fiction Book/Short Story,Live Action,Action,0,109
Fever Pitch,2005,13200100,40000000,42071069,8000000,2005-01-01,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Comedy,0,
The Other Woman,2014,191860100,40000000,83911193,111200000,2014-01-01,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,109
Made of Honor,2008,12080100,40000000,46012734,60536004,2008-01-01,Contemporary Fiction,Original Screenplay,Live Action,Romantic Comedy,0,
Final Destination 5,2011,145630100,40000000,42587643,112423522,2011-01-01,Fantasy,Original Screenplay,Live Action,Horror,1,95
42,2012,175670100,40000000,95020213,2450488,2012-01-01,Dramatization,Based on Real Life Events,Live Action,Drama,0,88
A Thousand Words,2011,115660100,40000000,18450127,2340359,2011-01-01,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,91
Julie & Julia,2009,4960100,40000000,94125426,32520693,2009-01-01,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Comedy,0,122
Scary Movie 4,2006,4830100,40000000,90710620,88000000,2006-01-01,Contemporary Fiction,Original Screenplay,Live Action,Comedy,1,
Horrible Bosses 2,2014,198210100,40000000,54445357,51500000,2014-01-01,Contemporary Fiction,Original Screenplay,Live Action,Comedy,1,108
Victor Frankenstein,2014,193100100,40000000,5775076,27400000,2014-01-01,Science Fiction,Based on Fiction Book/Short Story,Live Action,Thriller/Suspense,0,110
The Other Boleyn Girl,2008,20350100,40000000,26814957,51455013,2008-01-01,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0,
The Skeleton Key,2005,11560100,40000000,47806295,44349203,2005-01-01,Contemporary Fiction,Original Screenplay,Live Action,Horror,0,
Baahubali: The Beginning,2015,236630100,40000000,6738000,20000000,2015-01-01,Historical Fiction,Original Screenplay,Live Action,Action,0,160
He's Just Not That Into You,2009,4590100,40000000,93953653,87100004,2009-01-01,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Romantic Comedy,0,129
The Social Network,2010,135990100,40000000,96962694,127959441,2010-01-01,Dramatization,Based on Real Life Events,Live Action,Drama,0,120
Vantage Point,2008,6690100,40000000,72266306,78620023,2008-01-01,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,0,89
The Final Destination,2009,8230100,40000000,66477700,120906927,2009-01-01,Fantasy,Original Screenplay,Live Action,Horror,1,
Duplex,2003,37950100,40000000,9652000,418651,2003-01-01,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,88
The Guilt Trip,2011,147490100,40000000,37134215,4160459,2011-01-01,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,95
Soul Men,2008,34060100,40000000,12082391,263492,2008-01-01,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,103
The Prestige,2006,10120100,40000000,53089891,51317475,2006-01-01,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Thriller/Suspense,0,130
Sin City,2005,6540100,40000000,74103820,84650000,2005-01-01,Fantasy,Based on Comic/Graphic Novel,Live Action,Action,0,124
Amelia,2009,133430100,40000000,14246488,5476502,2009-01-01,Dramatization,Based on Fiction Book/Short Story,Live Action,Drama,0,
The Reaping,2007,21470100,40000000,25126214,37100000,2007-01-01,Fantasy,Original Screenplay,Live Action,Horror,0,
Extremely Loud and Incredibly Close,2011,145920100,40000000,31847881,23400000,2011-01-01,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0,129
Dumb and Dumber To,2014,200420100,40000000,86208010,55000000,2014-01-01,Contemporary Fiction,Original Screenplay,Live Action,Comedy,1,110
The Hunting Party,2007,62820100,40000000,876671,6852881,2007-01-01,Dramatization,Based on Factual Book/Article,Live Action,Adventure,0,
Sex Tape,2014,191200100,40000000,38543473,87526036,2014-01-01,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,95
Lone Survivor,2011,147270100,40000000,125095601,24709031,2011-01-01,Dramatization,Based on Factual Book/Article,Live Action,Action,0,121
Marie Antoinette,2006,29340100,40000000,15962471,44900000,2006-01-01,Dramatization,Based on Fiction Book/Short Story,Live Action,Drama,0,
Scream 4,2010,140980100,40000000,38180928,57808662,2010-01-01,Contemporary Fiction,Original Screenplay,Live Action,Horror,1,
Paul,2010,139030100,40000000,37412945,63749161,2010-01-01,Science Fiction,Original Screenplay,Live Action,Comedy,0,105
The Proposal,2009,1600100,40000000,163958031,150751686,2009-01-01,Contemporary Fiction,Original Screenplay,Live Action,Romantic Comedy,0,107
Season of the Witch,2010,111290100,40000000,24827228,66299372,2010-01-01,Fantasy,Original Screenplay,Live Action,Thriller/Suspense,0,98
Just Visiting,2001,47070100,40000000,4777007,11395193,2001-01-01,Fantasy,Remake,Live Action,Comedy,0,
The Lake House,2006,10330100,40000000,52330111,62500000,2006-01-01,Fantasy,Remake,Live Action,Drama,0,99
The Count of Monte Cristo,2002,9850100,40000000,54228104,21160986,2002-01-01,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0,
Sweet November,2001,21360100,40000000,25178165,40466125,2001-01-01,Contemporary Fiction,Remake,Live Action,Drama,0,
Shall We Dance?,2004,9080100,40000000,57887882,60210000,2004-01-01,Contemporary Fiction,Remake,Live Action,Romantic Comedy,0,106
Unknown,2010,143910100,40000000,63686397,72436686,2010-01-01,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,0,108
Eight Below,2006,5600100,40000000,81612565,39000000,2006-01-01,Contemporary Fiction,Remake,Live Action,Adventure,0,120
Snowpiercer,2013,203900100,40000000,4563029,83506851,2013-01-01,Science Fiction,Based on Comic/Graphic Novel,Live Action,Thriller/Suspense,0,126
The Warlords,2010,119220100,40000000,129078,38770714,2010-01-01,,,,,0,
The Gunman,2015,208660100,40000000,10664749,2979543,2015-01-01,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Thriller/Suspense,0,115
Alfie,2004,32350100,40000000,13395939,21800000,2004-01-01,Contemporary Fiction,Remake,Live Action,Comedy,0,106
Drillbit Taylor,2008,17270100,40000000,32862104,16824159,2008-01-01,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,102
17 Again,2009,7980100,40000000,64167069,75307837,2009-01-01,Fantasy,Original Screenplay,Live Action,Comedy,0,
Predators,2010,128960100,40000000,52000688,75233701,2010-01-01,Science Fiction,Original Screenplay,Live Action,Action,1,
Big Momma's House 2,2006,7080100,40000000,70165972,66881404,2006-01-01,Contemporary Fiction,Original Screenplay,Live Action,Comedy,1,
Get Rich or Die Tryin',2005,18350100,40000000,30981850,15685105,2005-01-01,Contemporary Fiction,Original Screenplay,Live Action,Drama,0,
The Odd Life of Timothy Green,2011,149650100,40000000,51853450,3395709,2011-01-01,Fantasy,Original Screenplay,Live Action,Drama,0,104
Bridge of Spies,2015,209460100,40000000,72313754,89200000,2015-01-01,Historical Fiction,Original Screenplay,Live Action,Thriller/Suspense,0,141
The Big Year,2010,140960100,41000000,7204138,480386,2010-01-01,Contemporary Fiction,Based on Factual Book/Article,Live Action,Comedy,0,100
A Knight’s Tale,2001,9520100,41000000,56083966,44538620,2001-01-01,Historical Fiction,Original Screenplay,Live Action,Adventure,0,132
8 Mile,2002,3270100,41000000,116724075,129045127,2002-01-01,Contemporary Fiction,Original Screenplay,Live Action,Drama,0,110
The Warrior's Way,2010,140070100,42000000,5666340,2847985,2010-01-01,Historical Fiction,Original Screenplay,Live Action,Western,0,100
Red Riding Hood,2010,143840100,42000000,37662162,54016280,2010-01-01,Fantasy,Based on Folk Tale/Legend/Fairytale,Live Action,Thriller/Suspense,0,120
Brüno,2009,8660100,42000000,60054530,70733713,2009-01-01,Contemporary Fiction,Based on TV,Live Action,Comedy,0,82
Man on a Ledge,2011,143210100,42000000,18620000,27068337,2011-01-01,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,0,102
15 Minutes,2001,130360100,42000000,24375436,31956428,2001-01-01,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,0,
Micmacs,2009,135760100,42000000,1259693,10497229,2009-01-01,Contemporary Fiction,,Live Action,Comedy,0,105
Lord of War,2005,22130100,42000000,24149632,36288095,2005-01-01,Contemporary Fiction,Original Screenplay,Live Action,Action,0,122
Along Came Polly,2004,129880100,42000000,88073507,84970903,2004-01-01,Contemporary Fiction,Original Screenplay,Live Action,Romantic Comedy,0,90
Here Comes the Boom,2011,146510100,42000000,45290318,27948940,2011-01-01,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,104
21 Jump Street,2011,140580100,42000000,138447667,64364762,2011-01-01,Contemporary Fiction,Based on TV,Live Action,Comedy,0,109
High Crimes,2002,13410100,42000000,41543207,22237893,2002-01-01,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Thriller/Suspense,0,115
One for the Money,2011,140540100,42000000,26414527,9782694,2011-01-01,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Comedy,0,106
The Mothman Prophecies,2002,16100100,42000000,35228696,21209859,2002-01-01,Science Fiction,Based on Fiction Book/Short Story,Live Action,Thriller/Suspense,0,
The Mechanic,2010,143920100,42500000,29121498,47225895,2010-01-01,Contemporary Fiction,Remake,Live Action,Action,0,93
The Heat,2013,176940100,43000000,159581587,70146187,2013-01-01,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,117
The Sweetest Thing,2002,21970100,43000000,24430272,38648484,2002-01-01,Contemporary Fiction,Original Screenplay,Live Action,Romantic Comedy,0,75
Danny the Dog,2005,21880100,43000000,24537621,24500000,2005-01-01,Contemporary Fiction,Original Screenplay,Live Action,Action,0,
Charlie St. Cloud,2010,138040100,44000000,31162545,17271821,2010-01-01,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0,100
The Interview,2014,195480100,44000000,6105175,6237457,2014-01-01,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,111
Argo,2012,166690100,44500000,136025503,91115254,2012-01-01,Historical Fiction,Based on Factual Book/Article,Live Action,Thriller/Suspense,0,120
Kicking and Screaming,2005,10210100,45000000,52580895,3000000,2005-01-01,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,95
Last Holiday,2006,14590100,45000000,38399961,4943286,2006-01-01,Contemporary Fiction,Remake,Live Action,Comedy,0,
16 Blocks,2006,130180100,45000000,36883539,28700000,2006-01-01,Contemporary Fiction,Original Screenplay,Live Action,Action,0,105
Coach Carter,2005,7440100,45000000,67264877,9400630,2005-01-01,Contemporary Fiction,Original Screenplay,Live Action,Drama,0,137
Dredd,2011,153600100,45000000,13414714,28052892,2011-01-01,Science Fiction,Based on Comic/Graphic Novel,Live Action,Action,0,98
Johnny English Reborn,2011,146970100,45000000,8305970,156233690,2011-01-01,Contemporary Fiction,Original Screenplay,Live Action,Comedy,1,101
The Princess Diaries 2: Royal Engagement,2004,4550100,45000000,95149435,26922000,2004-01-01,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Romantic Comedy,1,113
Fat Albert,2004,11440100,45000000,48114556,449000,2004-01-01,Contemporary Fiction,Based on TV,Live Action,Comedy,0,
Man cheng jin dai huang jin jia,2006,43270100,45000000,6566773,69000000,2006-01-01,Historical Fiction,Based on Play,Live Action,Action,0,
Resident Evil: Extinction,2007,10840100,45000000,50648679,95514241,2007-01-01,Science Fiction,Based on Game,Live Action,Action,1,
Aliens in the Attic,2009,21900100,45000000,25200412,34350871,2009-01-01,Science Fiction,Original Screenplay,Live Action,Adventure,0,
The Bounty Hunter,2010,134470100,45000000,67061228,68747609,2010-01-01,Contemporary Fiction,Original Screenplay,Live Action,Romantic Comedy,0,111
Training Day,2001,6220100,45000000,76261036,28244326,2001-01-01,Contemporary Fiction,Original Screenplay,Live Action,Drama,0,122
Underworld: Evolution,2006,8340100,45000000,62318875,51098887,2006-01-01,Fantasy,Original Screenplay,Live Action,Action,1,
Cellular,2004,17750100,45000000,32003620,29472364,2004-01-01,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,0,95
The Ant Bully,2006,130300100,45000000,28142535,21468363,2006-01-01,Kids Fiction,Based on Fiction Book/Short Story,Digital Animation,Adventure,0,89
Babylon A.D.,2008,23220100,45000000,22532572,47683925,2008-01-01,Science Fiction,Based on Fiction Book/Short Story,Live Action,Action,0,100
The Hitchhiker's Guide to the Galaxy,2005,10700100,45000000,51019112,51727102,2005-01-01,Science Fiction,Based on Fiction Book/Short Story,Animation/Live Action,Comedy,0,
Bangkok Dangerous,2008,29990100,45000000,15298133,31300000,2008-01-01,Contemporary Fiction,Remake,Live Action,Action,0,
Rebound,2005,28320100,45000000,16809014,683000,2005-01-01,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,
Blended,2014,141410100,45000000,46290741,81700000,2014-01-01,Contemporary Fiction,Original Screenplay,Live Action,Romantic Comedy,0,117
Revolutionary Road,2008,22920100,45000000,22911480,56653480,2008-01-01,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0,129
Love Actually,2003,8810100,45000000,59472278,188495625,2003-01-01,Contemporary Fiction,Original Screenplay,Live Action,Romantic Comedy,0,135
Savages,2012,163150100,45000000,47323100,33271760,2012-01-01,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Thriller/Suspense,0,130
Pinocchio,2002,50110100,45000000,3681811,28000000,2002-01-01,Fantasy,Based on Fiction Book/Short Story,Live Action,Adventure,0,
Love in the Time of Cholera,2007,47400100,45000000,4617608,26459810,2007-01-01,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0,
The Producers: The Movie Musical,2005,25840100,45000000,19398532,13554463,2005-01-01,Historical Fiction,Remake,Live Action,Musical,0,
Taken 2,2011,148840100,45000000,139854287,237953117,2011-01-01,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,1,91
Miracle at St. Anna,2008,40730100,45000000,7916887,1193571,2008-01-01,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0,
The Muppets,2011,150780100,45000000,88625922,72346000,2011-01-01,Kids Fiction,Based on TV,Live Action,Comedy,1,98
Scary Movie 3,2003,3600100,45000000,110000082,45199918,2003-01-01,Contemporary Fiction,Original Screenplay,Live Action,Comedy,1,85
Big Trouble,2002,41810100,45000000,7262288,1226583,2002-01-01,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Comedy,0,
The Pledge,2001,25550100,45000000,19719930,9686202,2001-01-01,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0,124
"Yours, Mine and Ours",2005,10060100,45000000,53359917,19000000,2005-01-01,Contemporary Fiction,Remake,Live Action,Comedy,0,
Johnny English,2003,19780100,45000000,28013509,135113167,2003-01-01,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,
Monster-in-Law,2005,5480100,45000000,82931301,73000000,2005-01-01,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,100
The Bucket List,2007,4660100,45000000,93466502,81344313,2007-01-01,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,97
The Ghost Writer,2010,118550100,45000000,15541549,49990942,2010-01-01,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Thriller/Suspense,0,
Journey to the Center of the Earth,2008,4090100,45000000,101704370,141476567,2008-01-01,Science Fiction,Based on Fiction Book/Short Story,Live Action,Adventure,0,92
Scary Movie 2,2001,6880100,45000000,71277420,69911681,2001-01-01,Contemporary Fiction,Original Screenplay,Live Action,Comedy,1,
Across the Universe,2007,22040100,45000000,24343673,5023470,2007-01-01,Historical Fiction,Original Screenplay,Live Action,Musical,0,
Prisoners,2013,182970100,46000000,61002302,52400000,2013-01-01,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,0,153
America's Sweethearts,2001,4630100,46000000,93607673,67040820,2001-01-01,Contemporary Fiction,Original Screenplay,Live Action,Romantic Comedy,0,106
Insomnia,2002,7450100,46000000,67263182,46359317,2002-01-01,Contemporary Fiction,Remake,Live Action,Thriller/Suspense,0,118
Jonah Hex,2010,109710100,47000000,10547117,475579,2010-01-01,Historical Fiction,Based on Comic/Graphic Novel,Live Action,Action,0,
Happily N'Ever After,2007,29460100,47000000,15849032,22074786,2007-01-01,Kids Fiction,Original Screenplay,Digital Animation,Comedy,0,
Rambo,2008,12970100,47500000,42754105,69460426,2008-01-01,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Action,1,
The Tooth Fairy,2010,115710100,48000000,60022256,52588130,2010-01-01,Fantasy,Original Screenplay,Live Action,Comedy,0,101
3:10 to Yuma,2007,130050100,48000000,53606916,17564909,2007-01-01,Historical Fiction,Remake,Live Action,Western,0,122
Kate and Leopold,2001,11780100,48000000,47095453,23842325,2001-01-01,Fantasy,Original Screenplay,Live Action,Romantic Comedy,0,120
Rat Race,2001,9430100,48000000,56607223,30000000,2001-01-01,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,112
Taken 3,2015,205100100,48000000,89256424,238400000,2015-01-01,Contemporary Fiction,Original Screenplay,Live Action,Action,1,118
The Ring,2002,2600100,48000000,129094024,119124462,2002-01-01,Contemporary Fiction,Remake,Live Action,Horror,0,115
Panic Room,2002,4540100,48000000,95308367,101000000,2002-01-01,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,0,
Chappie,2015,196480100,49000000,31569268,73432788,2015-01-01,Science Fiction,Original Screenplay,Live Action,Action,0,120
Anna Karenina,2012,167170100,49000000,12816367,58188260,2012-01-01,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0,129
Death to Smoochy,2002,39820100,50000000,8355815,18247,2002-01-01,Contemporary Fiction,Original Screenplay,Live Action,Black Comedy,0,
How to Lose a Guy in 10 Days,2003,3850100,50000000,105807520,73083262,2003-01-01,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Romantic Comedy,0,116
The Ring Two,2005,6280100,50000000,75941727,86000000,2005-01-01,Contemporary Fiction,Remake,Live Action,Horror,1,109
Your Highness,2010,111670100,50000000,21596445,4525193,2010-01-01,Fantasy,Original Screenplay,Live Action,Comedy,0,102
Disney Planes,2013,185670100,50000000,90282580,147776989,2013-01-01,Kids Fiction,Original Screenplay,Digital Animation,Comedy,0,91
Hannibal Rising,2007,19920100,50000000,27669725,52913586,2007-01-01,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Thriller/Suspense,0,
Garfield,2004,6390100,50000000,75367693,132726857,2004-01-01,Contemporary Fiction,Based on Comic/Graphic Novel,Animation/Live Action,Comedy,0,80
Silent Hill,2006,11810100,50000000,46982632,47721595,2006-01-01,Contemporary Fiction,Based on Game,Live Action,Horror,0,
