,company,movie
393,559,19326
394,14,9344
395,13187,9071
396,13190,9071
397,60,8973
398,3557,8973
399,1203,15730
400,2267,15730
401,4350,15730
402,7320,15730
403,7828,15730
404,11578,15730
405,35859,15730
406,9195,47608
407,33,2293
408,37,2293
409,11462,2293
410,16934,2293
411,306,9070
412,2106,9070
413,9255,9070
414,1382,68274
415,10163,68274
416,16561,48787
417,38959,48787
418,38960,48787
419,37897,34574
420,5,1642
421,306,11472
422,436,11472
423,37890,36196
424,7405,11980
425,2492,58372
426,3906,58372
427,28205,58372
428,1422,32646
429,3906,32646
430,38692,32646
431,39861,32646
432,915,10533
433,1504,10533
434,60,10802
435,183,10802
436,14723,10802
437,14,10149
438,705,18402
439,6194,18402
440,16368,18402
441,8411,9348
442,171,139408
443,3864,139408
444,6194,139408
445,574,281
446,1080,5967
447,1147,5967
448,14680,5967
449,915,79593
450,1382,79593
451,10201,79593
452,11308,47939
453,6849,36834
454,16026,36834
455,16027,36834
456,33,9090
457,56,9090
458,508,3512
459,6194,3512
460,17825,3512
461,21480,3512
462,63906,3512
463,915,52856
464,306,9560
465,2851,9560
466,33,9804
467,1073,9804
468,1302,9804
469,6092,9804
470,6068,31611
471,6911,31611
472,11661,31611
473,60,65796
474,4,49805
475,306,26258
476,5358,50797
477,6453,50797
478,6454,50797
479,6367,19155
480,12745,19155
481,98,76
482,6194,76
483,6365,11017
484,18189,37141
485,508,9382
486,644,9382
487,5358,9382
488,10104,9382
489,16192,9382
490,33,6715
491,1595,6715
492,4867,18256
493,364,22625
494,1898,22625
495,4127,22625
496,23808,22625
497,14,2292
498,16934,2292
499,12,1909
500,70,1909
501,6194,8984
502,11407,8984
503,15709,61813
504,52095,61813
505,4,4954
506,11308,62488
507,11661,62488
508,8,10531
509,181,10531
510,826,10531
511,3823,10531
512,5358,10531
513,8277,10531
514,68141,10531
515,97,11929
516,441,11929
517,12,8467
518,11061,8467
519,5528,10451
520,10565,10451
521,25345,10451
522,14,20156
523,10166,20156
524,12800,20156
525,11308,18395
526,9195,522
527,306,397
528,1382,397
529,10163,397
530,34207,397
531,5,10525
532,97,10525
533,306,27985
534,2,15789
535,559,27303
536,21,21183
537,1429,10954
538,2359,10954
539,37581,10954
540,14,72031
541,8,14275
542,13042,14275
543,11,1024
544,14,1024
545,294,1024
546,2306,1024
547,175,17207
548,915,17207
549,5,13701
550,2630,13701
551,4564,13701
552,2,14819
553,175,14819
554,33,32631
555,11393,32631
556,4,11777
557,360,628
558,2370,87729
559,9195,87729
560,175,18713
561,9195,18713
562,33,6280
563,8816,6280
564,414,9061
565,6194,9061
566,36854,9061
567,2,37108
568,4063,37108
569,306,6071
570,1,11
571,306,11
572,5,9587
573,6194,19101
574,181,49980
575,983,49980
576,9209,17961
577,84803,18183
578,84804,18183
579,348,4476
580,559,4476
581,1656,4476
582,33,11008
583,8,47504
584,12,47504
585,285,47504
586,181,32325
587,2832,32325
588,3268,32325
589,36836,32325
590,6194,43742
591,4,28313
592,181,11318
593,798,11318
594,23022,11318
595,70,3036
596,559,3036
597,2,40490
598,559,24070
599,4,8986
600,862,8986
601,306,10510
602,915,17402
603,70,38722
604,3906,38722
605,20928,38722
606,89873,38722
607,2428,8438
608,6194,8438
609,4,11593
610,594,11593
611,761,11593
612,306,1945
613,802,1945
614,1382,1945
615,4319,39310
616,7260,109560
617,42935,109560
618,11139,56428
619,7954,63105
620,21437,63105
621,23098,131957
622,508,241
623,644,241
624,4198,241
625,6194,241
626,10104,241
627,68551,241
628,559,9058
629,293,527
630,294,527
631,295,527
632,12,18220
633,17067,18220
634,17068,18220
635,824,6950
636,2154,6950
637,6194,6950
638,16775,6950
639,5,101
640,9,101
641,28205,63020
642,915,2307
643,14,680
644,59,680
645,216,680
646,31080,41478
647,31715,41478
648,37580,41478
649,5528,25296
650,288,40156
651,1382,40156
652,53009,40156
653,316,11450
654,915,11450
655,11407,11450
656,84839,30304
657,84840,30304
658,82,10452
659,850,10452
660,5358,10452
661,6187,10452
662,6541,10452
663,7089,10452
664,8923,10452
665,18367,10452
666,18495,10452
667,53009,10452
668,75913,10452
669,559,12106
670,915,161495
671,10201,161495
672,12883,161495
673,14,3586
674,38,110
675,183,110
676,591,110
677,1245,110
678,591,108
679,1610,108
680,183,109
681,591,109
682,850,109
683,4899,92769
684,16953,92769
685,24946,92769
686,4,28033
687,4108,22586
688,29272,14334
689,29273,14334
690,2596,2636
691,6194,2636
692,11134,2636
693,347,2164
694,694,2164
695,10320,2164
696,2,11395
697,915,11395
698,97,278
699,6194,278
700,181,9905
701,359,9905
702,980,9905
703,1382,9905
704,78701,87078
705,14,12527
706,6647,12527
707,8861,12527
708,10015,12527
709,2832,20306
710,4063,20306
711,798,36614
712,12,27993
713,4733,27993
714,4734,27993
715,1078,31439
716,25299,31439
717,2231,9067
718,33,9059
719,69626,9059
720,4,193
721,4319,25066
722,11308,25066
723,33,12122
724,4,11381
725,58,32636
726,14729,36141
727,11308,95963
728,23808,95963
729,37350,95963
730,4,1587
731,4,9271
732,175,2064
733,915,2064
734,33,19855
735,8,60855
736,806,60855
737,4908,60855
738,17027,60855
739,36024,60855
740,105,236
741,11840,236
742,39250,236
743,441,48287
744,10157,48287
745,6194,3049
746,10210,3049
747,1382,2759
748,37,12635
749,8,10497
750,355,10497
751,441,10497
752,635,10497
753,5358,10497
754,8131,10497
755,14,11382
756,4,9331
757,2767,9331
758,508,10731
759,644,10731
760,6194,10731
761,12,10464
762,33,34152
763,4319,34152
764,14,9495
765,4028,9495
766,4029,9495
767,4030,9495
768,6455,9495
769,508,29973
770,644,29973
771,6194,29973
772,16823,29973
773,33,888
774,56,888
775,1353,888
776,4,13
777,181,712
778,1382,712
779,10163,712
780,441,16295
781,1947,16295
782,441,48992
783,37294,48992
784,37295,48992
785,175,10879
786,9195,10879
787,559,10660
788,181,41647
789,201,41647
790,4606,41647
791,12914,41647
792,12915,41647
793,12916,41647
794,2,8587
795,10217,8587
796,14,1689
797,12,11596
798,12,854
799,552,854
800,4564,9359
801,6194,9359
802,8,23333
803,14,23333
804,4,36593
805,23,12280
806,33,12280
807,33,2788
808,216,2788
809,278,10427
810,1382,10427
811,1302,11011
812,1885,11011
813,6194,11011
814,12,49803
815,33,8987
816,496,8987
817,662,8987
818,306,1637
819,8411,15128
820,33,8831
821,467,8831
822,552,8831
823,1644,8831
824,2982,8831
825,4248,8831
826,306,36955
827,574,36955
828,9195,10449
829,5,10395
830,335,12160
831,6194,12160
832,13040,12160
833,24217,12160
834,9195,40480
835,21857,40480
836,288,52038
837,2630,52038
838,11358,52038
839,37,29444
840,1382,29444
841,175,26352
842,915,26352
843,3923,39953
844,25583,39953
845,170,315
846,6215,18242
847,6216,18242
848,6217,18242
849,33,11667
850,7220,11667
851,278,32502
852,11061,32502
853,31080,32502
854,33419,32502
855,285,28732
856,826,28732
857,16835,28732
858,14280,75555
859,37300,75555
860,2,42981
861,90509,42981
862,888,278939
863,38179,291731
864,38289,291731
865,3268,203119
866,38276,203119
867,2662,8011
868,22240,8011
869,25129,8011
870,30655,8011
871,12,2654
872,12,18069
873,12,19092
874,4,2758
875,41,2758
876,258,2758
877,21222,38129
878,5,10436
879,306,13595
880,1595,13595
881,3929,13595
882,915,46094
883,1382,46094
884,10201,46094
885,12883,46094
886,82606,46094
887,82607,46094
888,9195,9409
889,306,11853
890,89311,11853
891,8,16771
892,97,16771
893,16737,16771
894,6194,46924
895,7049,46924
896,58750,46924
897,79560,46924
898,79561,46924
899,306,11041
900,4,306
901,30,306
902,6194,14522
903,12,26203
904,2231,178
905,8411,178
906,4,19819
907,14150,57834
908,18070,57834
909,6194,4722
910,10098,4722
911,10099,4722
912,70969,18215
913,7429,1607
914,11308,1607
915,9195,26391
916,5,117553
917,1350,117553
918,33,6075
919,1988,6075
920,11393,6075
921,5,11310
922,97,11310
923,8411,18658
924,559,9350
925,5358,9350
926,14723,9350
927,23246,9350
928,45728,9350
929,45729,9350
930,4,9612
931,915,2124
932,1504,2124
933,559,26261
934,23,19176
935,33,19176
936,8411,49299
937,36863,49299
938,36864,49299
939,36865,49299
940,68062,49299
941,5739,11566
942,6194,11566
943,8816,11566
944,37,9571
945,6556,9571
946,10932,9571
947,1885,9739
948,6194,9739
949,8,34444
950,8411,26141
951,708,10997
952,2269,10997
953,36863,10997
954,41,50463
955,365,50463
956,705,10443
957,6194,10443
958,705,16297
959,6194,16297
960,4,18551
961,705,18551
962,19534,18551
963,8,25440
964,13,9024
965,23,9024
966,4,37233
967,932,37233
968,1302,37233
969,104,1634
970,508,1634
971,644,1634
972,6194,1634
973,23397,1634
974,14,13815
975,6194,5503
976,5,35588
977,33,2087
978,1644,2087
979,8411,41579
980,1422,18620
981,8888,18620
982,89521,18620
983,89522,18620
984,89523,18620
985,37,41006
986,915,4916
987,33,2019
988,467,2019
989,11462,2019
990,508,31642
991,6194,31642
992,306,9255
993,11751,9255
994,272,26271
995,1930,26271
996,10348,26271
997,14,10612
998,983,10612
999,118,2259
1000,705,2259
1001,850,2259
1002,10598,2259
1003,13096,2259
1004,33027,2259
1005,1382,11934
1006,1885,11934
1007,6194,11934
1008,10163,11934
1009,23873,11934
1010,18,106143
1011,441,106143
1012,915,12475
1013,97,9386
1014,441,9386
1015,33,7984
1016,2307,7984
1017,9195,59930
1018,9195,15765
1019,4,31643
1020,11407,31643
1021,33,6
1022,1644,6
1023,4248,6
1024,33,329
1025,56,329
1026,278,10909
1027,3589,10909
1028,285,507
1029,37,34024
1030,4,29918
1031,441,9593
1032,55528,9593
1033,9195,42580
1034,11308,22317
1035,360,1413
1036,6194,1413
1037,508,12121
1038,6194,12121
1039,5,2246
1040,12,2246
1041,97,2246
1042,1023,2246
1043,4564,10502
1044,6194,10502
1045,559,10440
1046,12,9516
1047,1885,2320
1048,6194,2320
1049,6116,5879
1050,13139,5879
1051,14668,5879
1052,8888,83718
1053,10565,83718
1054,3102,11971
1055,8827,11971
1056,559,2625
1057,1177,2625
1058,6194,31911
1059,8888,31911
1060,16827,31911
1061,306,788
1062,10230,788
1063,10100,21450
1064,10932,21450
1065,441,11231
1066,508,41588
1067,644,41588
1068,4198,41588
1069,6194,41588
1070,10104,41588
1071,441,10447
1072,1280,10447
1073,1755,10447
1074,4972,10447
1075,5,31586
1076,12,31586
1077,97,31586
1078,11912,9300
1079,27593,9300
1080,36765,9300
1081,171,9559
1082,6194,9559
1083,559,9800
1084,1274,9800
1085,418,713
1086,5186,713
1087,7832,713
1088,14089,713
1089,5,8291
1090,9195,18133
1091,915,25557
1092,33,22588
1093,9195,10872
1094,10288,10872
1095,5,1245
1096,2370,1245
1097,1504,11858
1098,9195,11858
1099,306,7007
1100,8780,7007
1101,5,10467
1102,10157,10467
1103,41,5550
1104,9,8005
1105,306,8005
1106,5612,8005
1107,10163,2088
1108,31080,2088
1109,36907,2088
1110,5186,10412
1111,11840,10412
1112,39712,10412
1113,50619,10412
1114,75712,47889
1115,75713,47889
1116,559,14534
1117,14374,56583
1118,36789,56583
1119,36790,56583
1120,249,41878
1121,16366,41878
1122,33,424
1123,56,424
1124,306,35233
1125,28822,35233
1126,932,14291
1127,508,103413
1128,644,103413
1129,6194,103413
1130,37265,103413
1131,70,11236
1132,6194,11236
1133,11308,11592
1134,17411,11592
1135,33,8850
1136,5553,10445
1137,11308,10445
1138,8,695
1139,272,695
1140,408,695
1141,9195,43535
1142,14,12519
1143,25158,12519
1144,25159,12519
1145,25160,12519
1146,8411,23210
1147,10104,23210
1148,36889,23210
1149,559,858
1150,4,867
1151,94856,867
1152,5798,78
1153,6194,78
1154,7965,78
1155,915,13203
1156,559,10442
1157,5848,11074
1158,6386,11074
1159,915,9607
1160,1504,9607
1161,1755,9607
1162,5888,9607
1163,12288,9607
1164,12,17585
1165,915,9057
1166,1382,9057
1167,10201,9057
1168,12883,9057
1169,164,20967
1170,559,10635
1171,11061,10635
1172,8601,9479
1173,8835,9479
1174,9195,9479
1175,2,10057
1176,175,10057
1177,915,11969
1178,1504,11969
1179,6194,41590
1180,10210,41590
1181,342,319
1182,3322,319
1183,6194,319
1184,10210,319
1185,306,15139
1186,6189,15139
1187,806,161158
1188,1203,161158
1189,2480,161158
1190,10348,85247
1191,37572,85247
1192,82,51980
1193,83,51980
1194,1524,51980
1195,6194,24405
1196,10210,24405
1197,6566,11655
1198,8,11800
1199,2658,11800
1200,7832,8223
1201,11736,8223
1202,5778,14587
1203,5,31504
1204,97,31504
1205,157,41653
1206,235,41653
1207,6181,41653
1208,7446,41653
1209,8,17600
1210,55150,17600
1211,55151,17600
1212,33,10897
1213,56,10897
1214,23506,10897
1215,4,21352
1216,559,37345
1217,58,32562
1218,181,32562
1219,201,32562
1220,1606,32562
1221,3268,32562
1222,3614,32562
1223,4606,32562
1224,58855,32562
1225,9364,25403
1226,16366,25403
1227,20769,25403
1228,37352,124304
1229,37353,124304
1230,37354,124304
1231,4,9066
1232,306,771
1233,477,771
1234,4,251
1235,2,812
1236,574,280
1237,1280,280
1238,5358,280
1239,14723,280
1240,61409,280
1241,335,581
1242,2630,581
1243,16636,80350
1244,1382,268
1245,4357,268
1246,6194,268
1247,41,274
1248,55072,274
1249,3166,408
1250,2,10020
1251,6125,10020
1252,10282,10020
1253,6,10895
1254,3166,10895
1255,9195,114
1256,10282,114
1257,7399,41043
1258,23647,41043
1259,38963,41043
1260,4051,576
1261,4063,15477
1262,5551,59146
1263,306,30528
1264,46108,30528
1265,306,7300
1266,711,7300
1267,10103,7300
1268,81131,7300
1269,278,10824
1270,1382,10824
1271,5996,261246
1272,1382,275
1273,10163,275
1274,2,25059
1275,4952,11827
1276,14,8766
1277,7405,8766
1278,15343,8766
1279,14,23570
1280,65446,23570
1281,14,47333
1282,3166,10112
1283,49,4307
1284,105,4307
1285,1382,46029
1286,6861,46029
1287,9195,46029
1288,10201,46029
1289,20295,46029
1290,21108,46029
1291,33,32308
1292,356,52873
1293,635,52873
1294,71842,44281
1295,75423,44281
1296,75424,44281
1297,12,28121
1298,11308,28121
1299,441,12520
1300,6032,12520
1301,38091,12520
1302,4,1592
1303,8411,19042
1304,45,38884
1305,225,38884
1306,315,38884
1307,744,38884
1308,850,38884
1309,982,38884
1310,983,38884
1311,986,38884
1312,3324,38884
1313,6639,38884
1314,9335,38884
1315,10163,38884
1316,12745,38884
1317,14245,38884
1318,30226,38884
1319,1302,47449
1320,38179,47449
1321,38180,47449
1322,12,36259
1323,60,41852
1324,23,9099
1325,33,9099
1326,247,2021
1327,271,2021
1328,5358,2021
1329,20777,2021
1330,31080,2021
1331,43,61752
1332,4319,61752
1333,976,10988
1334,3668,10988
1335,6194,10988
1336,10210,10988
1337,311,11479
1338,3823,11479
1339,5358,11479
1340,9195,11479
1341,14191,11479
1342,101,398959
1343,80481,398959
1344,7025,287305
1345,191,339428
1346,306,10684
1347,1302,10684
1348,4,954
1349,44,954
1350,7325,68445
1351,7326,68445
1352,7327,68445
1353,2231,18989
1354,8411,18989
1355,10355,18989
1356,47,10801
1357,6636,54285
1358,33,8840
1359,915,11107
1360,1382,11107
1361,3492,11107
1362,1066,16417
1363,38208,16417
1364,38209,16417
1365,641,10363
1366,7046,10363
1367,11290,10363
1368,247,161070
1369,20928,161070
1370,38178,161070
1371,2,10539
1372,1755,10539
1373,23,10543
1374,33,10543
1375,4,18414
1376,126,18414
1377,12,47502
1378,14,47502
1379,653,11902
1380,6242,11902
1381,17666,27098
1382,10354,25087
1383,1984,5801
1384,26424,896
1385,33,3065
1386,37,3065
1387,1310,3065
1388,3592,2300
1389,8816,2300
1390,55527,2300
1391,4,8069
1392,1216,8069
1393,1497,8069
1394,4106,288173
1395,97,221917
1396,441,221917
1397,16832,221917
1398,46654,8072
1399,54659,8072
1400,63558,8072
1401,875,35797
1402,900,35797
1403,16772,35797
1404,52599,83857
1405,5270,33245
1406,2,27281
1407,10201,27281
1408,264,105045
1409,310,105045
1410,1712,105045
1411,5358,105045
1412,5982,105045
1413,7025,105045
1414,559,40001
1415,8331,29621
1416,23098,29621
1417,38955,29621
1418,285,20762
1419,1854,48260
1420,8095,48260
1421,12745,48260
1422,8,12656
1423,216,12656
1424,12,38867
1425,2480,38867
1426,26109,38867
1427,12,25969
1428,4655,44103
1429,452,753
1430,453,753
1431,454,753
1432,1382,43634
1433,9195,43634
1434,10201,43634
1435,33,9103
1436,2982,9103
1437,10828,9103
1438,38114,9103
1439,216,29649
1440,559,29649
1441,8411,10990
1442,306,8866
1443,55140,8866
1444,2,12233
1445,554,12233
1446,175,23449
1447,915,23449
1448,33,36355
1449,27128,36355
1450,38181,36355
1451,1066,37667
1452,3324,37667
1453,53009,37667
1454,14,90148
1455,182,922
1456,254,922
1457,506,922
1458,663,922
1459,83,11876
1460,582,11876
1461,5358,11876
1462,17777,52633
1463,104,11687
1464,7961,11687
1465,16804,11687
1466,441,9304
1467,33624,73183
1468,5,9100
1469,306,20759
1470,54051,20759
1471,89312,20759
1472,9195,46063
1473,254,40651
1474,3541,40651
1475,64448,40651
1476,12,36915
1477,364,36915
1478,6137,36915
1479,10171,36915
1480,11308,36915
1481,11787,40507
1482,915,9802
1483,10288,9802
1484,364,25697
1485,1121,25697
1486,11308,25697
1487,5358,21588
1488,8694,21588
1489,11011,21588
1490,12242,21588
1491,13837,21588
1492,20849,21588
1493,86308,21588
1494,33,664
1495,56,664
1496,6194,664
1497,23370,664
1498,278,11867
1499,552,11867
1500,1382,11867
1501,83,47119
1502,1524,47119
1503,5358,47119
1504,18367,47119
1505,28400,47119
1506,93503,47119
1507,101,314352
1508,740,314352
1509,9023,314352
1510,528,9323
1511,6999,9323
1512,12657,9323
1513,4,10280
1514,10355,10280
1515,915,10535
1516,19262,124613
1517,297,532
1518,3333,26744
1519,19760,26744
1520,12,16299
1521,11308,16299
1522,285,10547
1523,12450,10547
1524,12451,10547
1525,8411,245268
1526,88,935
1527,441,935
1528,6697,55613
1529,6698,55613
1530,6700,55613
1531,14,41007
1532,36995,41007
1533,33,35645
1534,11393,35645
1535,69627,35645
1536,8411,110465
1537,181,255546
1538,21454,255546
1539,708,40751
1540,998,11101
1541,1704,11101
1542,21948,11101
1543,23417,11101
1544,4,9826
1545,79,9826
1546,7965,9826
1547,5,9879
1548,97,9879
1549,4125,22621
1550,70,7095
1551,915,7095
1552,2173,7095
1553,2492,26890
1554,17179,26890
1555,28205,26890
1556,8,46732
1557,17064,46732
1558,393,124633
1559,5358,124633
1560,5983,124633
1561,16975,124633
1562,18188,124633
1563,30226,124633
1564,86296,124633
1565,2359,202425
1566,11796,202425
1567,43860,202425
1568,66451,202425
1569,72598,202425
1570,72471,77771
1571,72472,77771
1572,72469,181083
1573,512,41225
1574,2260,41225
1575,7508,41225
1576,73349,41225
1577,1152,87190
1578,21072,87190
1579,21073,87190
1580,21074,87190
1581,21075,87190
1582,21076,87190
1583,14,627
1584,181,627
1585,358,627
1586,359,627
1587,9349,627
1588,4,32872
1589,126,32872
1590,306,602
1591,347,602
1592,43,14553
1593,11561,14553
1594,14698,14553
1595,15671,14553
1596,20783,14553
1597,559,9566
1598,1236,9566
1599,2,10545
1600,441,9894
1601,2090,11543
1602,8411,11543
1603,824,9268
1604,6194,9268
1605,23,9327
1606,33,9327
1607,61085,123763
1608,104,81949
1609,6274,81949
1610,4095,183955
1611,50180,183955
1612,231,44535
1613,21304,44535
1614,25129,44535
1615,875,78285
1616,16772,78285
1617,33,11228
1618,1302,11228
1619,11,10779
1620,33,10779
1621,97,26748
1622,441,26748
1623,11948,26748
1624,4,38223
1625,2070,38223
1626,2348,38223
1627,9195,9294
1628,181,49963
1629,254,49963
1630,3644,49963
1631,10565,49963
1632,11912,49963
1633,53407,49963
1634,53408,49963
1635,43,11363
1636,508,1645
1637,6194,1645
1638,181,31546
1639,826,31546
1640,2154,31546
1641,28205,31546
1642,28206,31546
1643,5358,77056
1644,30232,77056
1645,97,36344
1646,441,36344
1647,87554,36344
1648,8411,18550
1649,9195,11511
1650,10201,11511
1651,1655,172198
1652,7248,172198
1653,8138,172198
1654,60,34170
1655,2231,34170
1656,2630,34170
1657,3324,124645
1658,4,12606
1659,41954,35206
1660,56112,35206
1661,109,4837
1662,223,4837
1663,328,9098
1664,2572,9098
1665,12,18975
1666,2499,18975
1667,11308,18975
1668,258,2925
1669,1422,28628
1670,3324,28628
1671,17179,28628
1672,9195,3595
1673,90663,3595
1674,559,9308
1675,41,92381
1676,285,92381
1677,11661,18555
1678,24827,18555
1679,26192,18555
1680,306,12123
1681,2377,12123
1682,20004,12123
1683,216,10830
1684,559,10830
1685,14,3573
1686,1363,3573
1687,1443,3573
1688,14,10546
1689,8411,18862
1690,11661,18862
1691,1679,31417
1692,13437,31417
1693,33,9431
1694,69626,9431
1695,69627,9431
1696,5333,144982
1697,97,47907
1698,4,10061
1699,11661,10061
1700,1871,36266
1701,5358,36266
1702,5869,36266
1703,6849,36266
1704,11793,36266
1705,16366,36266
1706,18367,36266
1707,21331,36266
1708,78239,36266
1709,78240,36266
1710,53009,549
1711,93380,549
1712,93381,549
1713,508,10478
1714,6194,10478
1715,2756,66634
1716,4641,116690
1717,6274,213917
1718,4,238
1719,10211,238
1720,47,159
1721,99,159
1722,2521,11134
1723,3054,11134
1724,2974,88224
1725,882,132641
1726,10308,9303
1727,10355,9303
1728,508,23945
1729,6194,23945
1730,8724,37820
1731,11840,37820
1732,31317,37820
1733,8,22479
1734,7832,22479
1735,37163,22479
1736,175,9054
1737,915,9054
1738,961,9054
1739,25345,11985
1740,2592,10232
1741,525,59569
1742,15123,59569
1743,2521,38955
1744,4,11015
1745,33,11015
1746,657,11015
1747,762,11015
1748,1280,11015
1749,1382,11015
1750,4650,11015
1751,7237,11015
1752,15278,11015
1753,12,9306
1754,2,12559
1755,175,12559
1756,33,58770
1757,37,58770
1758,56,58770
1759,508,3587
1760,1484,3587
1761,6194,3587
1762,33,10723
1763,4169,56077
1764,90100,56077
1765,90101,56077
1766,4285,19004
1767,14,10987
1768,8,44705
1769,288,44705
